,net,gross,n_active,equity
2021-06-11,-0.02378979639392704,-0.02378979639392704,9.0,1.4860531766602874
2021-06-18,0.03476572326875776,0.03476572326875776,9.0,1.5377168901627172
2021-06-25,0.0039015787181313055,0.0049015787181313055,5.0,1.5437164136558872
2021-07-02,-0.016425405574995097,-0.014550405574995096,2.0,1.5183602454688123
2021-07-09,-0.023233795168428956,-0.022400461835095625,6.0,1.4830829745337044
2021-07-16,0.01711204079675787,0.017528707463424536,9.0,1.508461550898902
2021-07-23,-0.003794957900686808,-0.003638707900686808,8.0,1.502737002818436
2021-07-30,0.011463171944952876,0.011641743373524305,7.0,1.519963135469787
2021-08-06,0.004639681805819362,0.005139681805819363,5.0,1.5270152807749422
2021-08-13,-0.016950815560433576,-0.015388315560433574,4.0,1.5011311263925624
2021-08-20,0.026589402372245344,0.027214402372245344,8.0,1.541045305925716
2021-08-27,-0.003950961051348742,-0.003534294384682076,6.0,1.5349566959436398
2021-09-03,-0.00813662495583726,-0.007958053527265831,7.0,1.5224673289852952
2021-09-10,0.002933471287685214,0.0032906141448280713,7.0,1.5269334431813124
2021-09-17,0.010572209825914664,0.010849987603692442,9.0,1.5430765039328316
2021-09-24,-0.01348063639128315,-0.01348063639128315,9.0,1.5222748506593806
2021-10-01,0.013857978219180013,0.013857978219180013,9.0,1.5433705023834239
2021-10-08,0.01865837678699039,0.01881462678699039,8.0,1.5721672907388204
2021-10-15,0.011673814162335846,0.013757147495669178,3.0,1.5905204795230083
2021-10-22,0.01772929651275135,0.01835429651275135,6.0,1.618719288714075
2021-10-29,0.021849563999755926,0.022162063999755927,8.0,1.654087599410473
2021-11-05,-0.004682587112270792,-0.004265920445604125,6.0,1.6463421901349065
2021-11-12,0.0031309184491138957,0.003755918449113896,8.0,1.6514967532715545
2021-11-19,-0.011241507443604082,-0.011241507443604082,8.0,1.6329314402265644
2021-11-26,-0.0121600481418608,-0.0118475481418608,8.0,1.6130749153010513
2021-12-03,0.03666703274845667,0.03680592163734556,9.0,1.672221586046109
2021-12-10,-0.02457265335447488,-0.02457265335447488,9.0,1.6311306646803276
2021-12-17,0.03778642381849465,0.03778642381849465,9.0,1.6927652592792812
2021-12-31,-0.012779988900340924,-0.002779988900340924,1.0,1.6711317380548092
2022-01-07,0.01983537774592721,0.021710377745927212,2.0,1.7042792673423344
2022-01-14,-0.04126773143506021,-0.03751773143506021,1.0,1.6339475282473097
2022-01-21,0.0056316486771369806,0.006673315343803647,6.0,1.643149346683275
2022-01-28,0.017557358678239675,0.017869858678239675,8.0,1.6719987091249082
2022-02-04,-0.01658250785253869,-0.01658250785253869,8.0,1.6442727774014099
2022-02-11,-0.019654094554462393,-0.019118380268748108,7.0,1.611956084761034
2022-02-18,0.007158679414916849,0.007436457192694627,9.0,1.6234955616027626
2022-02-25,-0.003998389826894945,-0.003998389826894945,9.0,1.617004193465241
2022-03-04,-0.022669588401190797,-0.022669588401190797,9.0,1.5803473739563845
2022-03-11,0.0568872480870056,0.0568872480870056,9.0,1.670248987082289
2022-03-18,0.020105547389181466,0.020105547389181466,9.0,1.7038302572438044
2022-03-25,-0.0042594099451368,-0.0042594099451368,9.0,1.696572945701275
2022-04-01,-0.00948070272121082,-0.00948070272121082,9.0,1.6804882419582323
2022-04-08,-0.017337685869504436,-0.016980543012361578,7.0,1.6513524647117648
2022-04-22,-0.044838520478631065,-0.037338520478631065,1.0,1.5773082634053486
2022-04-29,0.005426224939745835,0.006537336050856947,9.0,1.5858670928419059
2022-05-06,-0.029460213468183147,-0.028835213468183147,6.0,1.5391471097546163
2022-05-13,-0.028029632902191966,-0.0276129662355253,9.0,1.4960053812857246
2022-05-20,0.07039269853271803,0.07039269853271803,9.0,1.6013132370938947
2022-05-27,-0.016753989280144637,-0.012378989280144637,2.0,1.57448485228547
2022-06-03,0.0,0.0,0.0,1.57448485228547
2022-06-10,-0.06622021958790401,-0.06497021958790401,9.0,1.4702221196292975
2022-06-17,0.05630270725465598,0.05630270725465598,9.0,1.5529996052301056
2022-06-24,-0.019532598700778787,-0.019532598700778787,9.0,1.522665487158678
2022-07-01,0.004823611054241623,0.004823611054241623,9.0,1.530010233234449
2022-07-08,-0.010675968298589375,-0.010675968298589375,9.0,1.5136758924879206
2022-07-15,0.03250664703913039,0.03250664703913039,9.0,1.5628804204566662
2022-07-22,0.04770670022026932,0.04770670022026932,9.0,1.6374402881555208
2022-07-29,-0.0023231248847617675,-0.0023231248847617675,9.0,1.6336363098747952
2022-08-05,0.030555623162737324,0.031180623162737325,6.0,1.6835530853442942
2022-08-12,0.0,0.0,0.0,1.6835530853442942
2022-08-19,-0.02461922491549895,-0.02336922491549895,4.0,1.6421053132790209
